"","Name","Genre","Platform","Total_Sales","NA_Sales","JP_Sales","PAL_Sales","Other_Sales","Year"
"27","Driving Emotion Type-S","Racing","PS2",0.2,0.04,0.12,0.03,0.01,2001
"28","AirForce Delta Storm","Simulation","XB",0.2,0.14,0.01,0.04,0.01,2001
"29","Test Drive Off-Road Wide Open","Racing","XB",0.2,0.15,0.01,0.03,0.01,2001
"30","Army Men: Sarge's Heroes 2","Shooter","PS2",0.19,0.09,0.00999999999999998,0.07,0.02,2001
"31","Warriors of Might and Magic","Adventure","PS2",0.19,0.09,0.00999999999999998,0.07,0.02,2001
"32","Driven","Racing","PS2",0.17,0.08,0.01,0.06,0.02,2001
"33","MTV Music Generator 2","Misc","PS2",0.17,0.08,0.01,0.06,0.02,2001
"34","Paris-Dakar Rally","Racing","PS2",0.17,0.08,0.01,0.06,0.02,2001
"35","Guilty Gear X","Fighting","PS2",0.14,0.06,0.01,0.05,0.02,2001
"36","ESPN NBA 2Night","Sports","PS2",0.11,0.05,0.01,0.04,0.01,2001
"37","Unison: Rebels of Rhythm & Dance","Misc","PS2",0.06,0.02,0.01,0.02,0.01,2001
"38","WarJetz","Shooter","PS2",0.06,0.02,0.01,0.02,0.01,2001
"39","Medal of Honor: Frontline","Shooter","PS2",6.85,2.93,0.18,2.75,0.99,2002
"40","WWE SmackDown! Shut Your Mouth","Sports","PS2",3.04,1.45,0.0799999999999998,1.13,0.38,2002
"41","Scooby-Doo! Night of 100 Frights","Platform","PS2",2.12,1.17,0.00999999999999979,0.72,0.22,2002
"42","Tetris Worlds","Puzzle","PS2",2.1,1.11,0.00999999999999979,0.71,0.27,2002
"43","The Simpsons Skateboarding","Sports","PS2",1.54,0.36,0.01,0.9,0.27,2002
"44","Pac-Man World 2","Action","PS2",1.53,1.26,0.01,0.05,0.21,2002
"45","Test Drive","Racing","PS2",1.36,0.95,0.02,0.21,0.18,2002
"46","MechAssault","Simulation","XB",1.15,1.01,0.01,0.1,0.03,2002
"47","Freekstyle","Racing","PS2",1.08,0.52,0.01,0.41,0.14,2002
"48","NHL 2003","Sports","PS2",0.95,0.46,0.0099999999999999,0.36,0.12,2002
"49","Street Hoops","Sports","PS2",0.93,0.45,0.01,0.35,0.12,2002
"50","Knockout Kings 2002","Sports","PS2",0.93,0.45,0.01,0.35,0.12,2002
"51","Namco Museum","Misc","XB",0.93,0.77,0.01,0.11,0.04,2002
"52","Tiger Woods PGA Tour 2002","Sports","PS2",0.92,0.44,0.01,0.35,0.12,2002
"53","MLB SlugFest 20-03","Sports","PS2",0.85,0.41,0.01,0.32,0.11,2002
"54","James Bond 007: Nightfire","Shooter","XB",0.84,0.58,0.01,0.22,0.03,2002
"55","Dead to Rights","Shooter","XB",0.74,0.53,0.01,0.17,0.03,2002
"56","The Lord of the Rings: The Two Towers","Action","XB",0.73,0.45,0.01,0.24,0.03,2002
"57","Madden NFL 2003","Sports","XB",0.73,0.67,0.01,0.02,0.03,2002
"58","Armored Core 3","Simulation","PS2",0.69,0.22,0.24,0.17,0.06,2002
"59","FIFA Soccer 2003","Sports","XB",0.65,0.2,0.01,0.4,0.04,2002
"60","Metal Gear Solid 2: Substance","Action","XB",0.64,0.38,0.01,0.22,0.03,2002
"61","2002 FIFA World Cup","Sports","PS2",0.61,0.21,0.17,0.17,0.06,2002
"62","Pac-Man Fever","Misc","PS2",0.53,0.25,0.01,0.2,0.07,2002
"63","Mat Hoffman's Pro BMX 2","Sports","PS2",0.48,0.23,0.00999999999999995,0.18,0.06,2002
"64","The Thing","Adventure","PS2",0.46,0.22,0.01,0.17,0.06,2002
"65","Headhunter","Action","PS2",0.4,0.19,0.01,0.15,0.05,2002
"66","Grandia Xtreme","Role-Playing","PS2",0.4,0.07,0.26,0.05,0.02,2002
"67","Haven: Call of the King","Platform","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2002
"68","MX SuperFly featuring Ricky Carmichael","Racing","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2002
"69","NFL Blitz 20-02","Sports","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2002
"70","NHL Hitz 20-03","Sports","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2002
"71","Myst III: Exile","Adventure","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2002
"72","Buffy the Vampire Slayer","Action","XB",0.25,0.18,0.00999999999999998,0.05,0.01,2002
"73","Legion: The Legend of Excalibur","Action","PS2",0.24,0.11,0.01,0.09,0.03,2002
"74","Whirl Tour","Sports","PS2",0.24,0.11,0.01,0.09,0.03,2002
"75","Dino Stalker","Shooter","PS2",0.24,0.07,0.09,0.06,0.02,2002
"76","BloodRayne","Shooter","XB",0.23,0.16,0.01,0.05,0.01,2002
"77","Robotech: Battlecry","Shooter","XB",0.23,0.16,0.01,0.05,0.01,2002
"78","Crazy Taxi 3: High Roller","Racing","XB",0.22,0.14,0.03,0.04,0.01,2002
"79","Looney Tunes: Space Race","Racing","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2002
"80","Ty the Tasmanian Tiger","Platform","XB",0.2,0.14,0.01,0.04,0.01,2002
"81","Monopoly Party","Misc","XB",0.2,0.14,0.01,0.04,0.01,2002
"82","SEGA Bass Fishing Duel","Sports","PS2",0.19,0.09,0.00999999999999998,0.07,0.02,2002
"83","Gunvalkyrie","Shooter","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2002
"84","Gauntlet: Dark Legacy","Action","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2002
"85","Barbarian","Fighting","PS2",0.16,0.07,0.00999999999999998,0.06,0.02,2002
"86","Fatal Frame","Action","PS2",0.16,0.07,0.00999999999999998,0.06,0.02,2002
"87","NCAA College Basketball 2K3","Sports","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2002
"88","NFL Blitz 20-03","Sports","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2002
"89","Enclave","Adventure","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2002
"90","Pryzm Chapter One: The Dark Unicorn","Adventure","PS2",0.14,0.06,0.01,0.05,0.02,2002
"91","Disney's PK: Out of the Shadows","Platform","PS2",0.14,0.06,0.01,0.05,0.02,2002
"92","Sega Soccer Slam","Sports","PS2",0.14,0.06,0.01,0.05,0.02,2002
"93","Shox","Racing","PS2",0.11,0.05,0.01,0.04,0.01,2002
"94","Sky Gunner","Action","PS2",0.09,0.04,0.01,0.03,0.01,2002
"95","Godai: Elemental Force","Action","PS2",0.09,0.04,0.01,0.03,0.01,2002
"96","Dual Hearts","Role-Playing","PS2",0.07,0.03,0.01,0.02,0.01,2002
"97","WTA Tour Tennis","Sports","PS2",0.07,0.03,0.01,0.02,0.01,2002
"98","Rez","Shooter","PS2",0.07,0.03,0.01,0.02,0.01,2002
"99","Ferrari F355 Challenge","Racing","PS2",0.07,0.03,0.01,0.02,0.01,2002
"100","Shifters","Adventure","PS2",0.07,0.03,0.01,0.02,0.01,2002
"101","Downforce","Racing","PS2",0.07,0.03,0.01,0.02,0.01,2002
"102","Antz Extreme Racing","Racing","PS2",0.06,0.02,0.01,0.02,0.01,2002
"103","RedCard 20-03","Sports","XB",0.05,0.03,0.01,0.01,0,2002
"104","NBA Starting Five","Sports","XB",0.04,0.02,0.01,0.01,0,2002
"105","Total Immersion Racing","Racing","XB",0.04,0.02,0.01,0.01,0,2002
"106","Madden NFL 2004","Sports","PS2",5.25,4.26,0.0199999999999998,0.26,0.71,2003
"107","Medal of Honor: Rising Sun","Shooter","PS2",5.15,1.98,0.14,2.23,0.8,2003
"108","The Simpsons: Hit & Run","Racing","PS2",4.72,1.73,0.00999999999999979,2.19,0.79,2003
"109","FIFA Soccer 2004","Sports","PS2",3.51,0.59,0.0499999999999998,2.36,0.51,2003
"110","The Lord of the Rings: The Return of the King","Action","PS2",3.3,1.5,0.0600000000000002,1.28,0.46,2003
"111","Tom Clancy's Splinter Cell","Action","PS2",2.67,1.15,0.0100000000000002,1.11,0.4,2003
"112","The Sims: Bustin' Out","Simulation","PS2",2.45,1.07,0.00999999999999979,1.19,0.18,2003
"113","Star Wars: Knights of the Old Republic","Role-Playing","XB",2.21,1.68,0.0100000000000002,0.44,0.08,2003
"114","DDRMAX2: Dance Dance Revolution","Simulation","PS2",1.83,1.05,0.01,0.59,0.18,2003
"115","Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City","Action","PS2",1.74,0.85,0.01,0.66,0.22,2003
"116","Midway Arcade Treasures","Misc","PS2",1.48,0.72,0.01,0.56,0.19,2003
"117","Yu-Gi-Oh! The Duelists of the Roses","Action","PS2",1.43,1.07,0.01,0.35,0,2003
"118","Hulk","Action","PS2",1.08,0.52,0.01,0.41,0.14,2003
"119","Tokyo Xtreme Racer 3","Racing","PS2",0.93,0.35,0.22,0.27,0.09,2003
"120","Tom Clancy's Ghost Recon: Island Thunder","Shooter","XB",0.89,0.61,0.01,0.24,0.03,2003
"121","Brute Force","Shooter","XB",0.85,0.62,0.02,0.18,0.03,2003
"122","Backyard Wrestling: Don't Try This at Home","Fighting","PS2",0.62,0.3,0.01,0.23,0.08,2003
"123","Dead or Alive Xtreme Beach Volleyball","Sports","XB",0.61,0.36,0.15,0.08,0.02,2003
"124","Mega Man X7","Platform","PS2",0.6,0.22,0.15,0.17,0.06,2003
"125","Dance Dance Revolution Ultramix","Simulation","XB",0.56,0.42,0.01,0.11,0.02,2003
"126","Metal Gear Solid 2: Substance","Action","PS2",0.54,0.18,0.17,0.14,0.05,2003
"127","HSX HyperSonic.Xtreme","Racing","PS2",0.53,0.25,0.01,0.2,0.07,2003
"128","Star Wars Jedi Knight: Jedi Academy","Shooter","XB",0.47,0.34,0.01,0.1,0.02,2003
"129","Spawn: Armageddon","Action","PS2",0.46,0.22,0.01,0.17,0.06,2003
"130","Primal","Action","PS2",0.45,0.21,0.01,0.17,0.06,2003
"131","NCAA Football 2004","Sports","XB",0.45,0.4,0.01,0.02,0.02,2003
"132","Bionicle","Platform","PS2",0.45,0.21,0.01,0.17,0.06,2003
"133","Zone of the Enders: The 2nd Runner","Simulation","PS2",0.43,0.15,0.12,0.12,0.04,2003
"134","Evil Dead: Fistfull of Boomstick","Action","PS2",0.4,0.19,0.01,0.15,0.05,2003
"135","Risk: Global Domination","Strategy","PS2",0.4,0.19,0.01,0.15,0.05,2003
"136","High Heat Major League Baseball 2004","Sports","PS2",0.38,0.18,0.01,0.14,0.05,2003
"137","Disney's The Haunted Mansion","Platform","PS2",0.38,0.18,0.01,0.14,0.05,2003
"138","Arc the Lad: Twilight of the Spirits","Role-Playing","PS2",0.38,0.18,0.01,0.14,0.05,2003
"139","Monster Rancher 4","Simulation","PS2",0.36,0.08,0.2,0.06,0.02,2003
"140","Crash Nitro Kart","Racing","XB",0.33,0.24,0.01,0.07,0.01,2003
"141","Midtown Madness 3","Racing","XB",0.32,0.23,0.01,0.07,0.01,2003
"142","Chaos Legion","Action","PS2",0.32,0.15,0.01,0.12,0.04,2003
"143","Monster 4x4: Masters of Metal","Racing","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"144","R: Racing Evolution","Racing","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"145","Harry Potter and the Sorcerer's Stone","Action","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"146","Mission: Impossible - Operation Surma","Action","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"147","Deer Hunter","Sports","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"148","Summer Heat Beach Volleyball","Sports","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2003
"149","Tao Feng: Fist of the Lotus","Fighting","XB",0.29,0.21,0.01,0.06,0.01,2003
"150","NASCAR Thunder 2004","Racing","XB",0.25,0.18,0.00999999999999998,0.05,0.01,2003
"151","MTV Celebrity Deathmatch","Fighting","XB",0.23,0.16,0.01,0.05,0.01,2003
"152","Cabela's Deer Hunt: 2004 Season","Sports","XB",0.23,0.16,0.01,0.05,0.01,2003
"153","NCAA Final Four 2004","Sports","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2003
"154","Gladius","Strategy","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2003
"155","Big Mutha Truckers","Racing","XB",0.21,0.15,0.01,0.04,0.01,2003
"156","Indiana Jones and the Emperor's Tomb","Action","XB",0.2,0.14,0.01,0.04,0.01,2003
"157","Mark Davis Pro Bass Challenge","Sports","PS2",0.19,0.09,0.00999999999999998,0.07,0.02,2003
"158","NBA Inside Drive 2004","Sports","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"159","Metal Arms: Glitch in the System","Shooter","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"160","Exhibition Volume 02","Misc","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"161","SWAT: Global Strike Team","Shooter","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"162","Hunter: The Reckoning Redeemer","Action","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"163","Spawn: Armageddon","Action","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"164","State of Emergency","Action","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"165","Backyard Wrestling: Don't Try This at Home","Fighting","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2003
"166","Warhammer 40,000: Fire Warrior","Shooter","PS2",0.17,0.08,0.01,0.06,0.02,2003
"167","Grabbed by the Ghoulies","Action","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2003
"168","Terminator 3: Rise of the Machines","Action","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2003
"169","Scooby-Doo! Night of 100 Frights","Platform","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2003
"170","MotoGP 3 - Official Game of MotoGP","Racing","PS2",0.14,0.06,0.01,0.05,0.02,2003
"171","IndyCar Series","Racing","PS2",0.14,0.06,0.01,0.05,0.02,2003
"172","Gladiator: Sword of Vengeance","Action","PS2",0.14,0.06,0.01,0.05,0.02,2003
"173","Speed Kings","Racing","PS2",0.11,0.05,0.01,0.04,0.01,2003
"174","Bloody Roar 4","Fighting","PS2",0.11,0.05,0.01,0.04,0.01,2003
"175","Magic Pengel: The Quest for Color","Role-Playing","PS2",0.09,0.04,0.01,0.03,0.01,2003
"176","Futurama","Platform","PS2",0.09,0.04,0.01,0.03,0.01,2003
"177","Rayman 3: Hoodlum Havoc","Platform","XB",0.09,0.06,0.01,0.02,0,2003
"178","Aero Elite: Combat Academy","Simulation","PS2",0.09,0.04,0.01,0.03,0.01,2003
"179","Bombastic","Puzzle","PS2",0.07,0.03,0.01,0.02,0.01,2003
"180","Fisherman's Challenge","Sports","PS2",0.06,0.02,0.01,0.02,0.01,2003
"181","Stake: Fortune Fighters","Fighting","XB",0.04,0.02,0.01,0.01,0,2003
"182","Star Wars Battlefront","Shooter","PS2",3.63,1.93,0.0400000000000002,1.22,0.44,2004
"183","ESPN NFL 2K5","Sports","PS2",2.64,2.15,0.00999999999999979,0.12,0.36,2004
"184","Ratchet & Clank: Up Your Arsenal","Platform","PS2",2.59,1.31,0.32,0.74,0.22,2004
"185","The Incredibles","Action","PS2",2.39,0.96,0.0499999999999998,1.08,0.3,2004
"186","Tony Hawk's Underground 2","Sports","PS2",2.39,1.25,0.0199999999999998,0.86,0.26,2004
"187","James Bond 007: Everything or Nothing","Shooter","PS2",2.33,0.85,0.0999999999999998,1.06,0.32,2004
"188","Star Wars Battlefront","Shooter","XB",1.77,1.24,0.01,0.45,0.07,2004
"189","Ace Combat 5: The Unsung War","Simulation","PS2",1.73,0.88,0.33,0.34,0.18,2004
"190","NCAA Football 2005","Sports","PS2",1.64,1.32,0.00999999999999979,0.09,0.22,2004
"191","NFL Street 2","Sports","PS2",1.63,0.79,0.01,0.62,0.21,2004
"192","Tom Clancy's Ghost Recon 2","Shooter","XB",1.38,0.86,0.01,0.45,0.06,2004
"193","Ratchet & Clank: Up Your Arsenal (Weekly american sales)","Platform","PS2",1.35,1.27,0.01,0.05,0.02,2004
"194","Call of Duty: Finest Hour","Shooter","XB",1.23,0.78,0.01,0.4,0.04,2004
"195","ESPN NBA 2K5","Sports","XB",0.97,0.88,0.01,0.04,0.04,2004
"196","World Championship Poker","Misc","PS2",0.97,0.8,0.01,0.03,0.13,2004
"197","Killzone","Shooter","PS2",0.96,0.79,0.01,0.03,0.13,2004
"198","MLB 2005","Sports","PS2",0.92,0.44,0.01,0.35,0.12,2004
"199","Driv3r","Racing","XB",0.78,0.36,0.01,0.38,0.03,2004
"200","Shark Tale","Action","PS2",0.77,0.37,0.01,0.29,0.1,2004
"201","Katamari Damacy","Puzzle","PS2",0.75,0.47,0.18,0.02,0.08,2004
"202","Baldur's Gate: Dark Alliance II","Role-Playing","PS2",0.7,0.34,0.0099999999999999,0.26,0.09,2004
"203","Spyro: A Hero's Tail","Platform","PS2",0.66,0.32,0.01,0.25,0.08,2004
"204","Crash: Twinsanity","Platform","PS2",0.66,0.32,0.01,0.25,0.08,2004
"205","GoldenEye: Rogue Agent","Shooter","PS2",0.66,0.54,0.01,0.02,0.09,2004
"206","Hot Wheels: Stunt Track Challenge","Racing","PS2",0.61,0.29,0.01,0.23,0.08,2004
"207","The Lord of the Rings: The Third Age","Role-Playing","PS2",0.6,0.49,0.01,0.02,0.08,2004
"208","Def Jam: Fight for NY","Fighting","XB",0.56,0.43,0.01,0.1,0.02,2004
"209","NFL Street 2","Sports","XB",0.5,0.36,0.01,0.11,0.02,2004
"210","NASCAR 2005: Chase for the Cup","Racing","XB",0.47,0.34,0.01,0.1,0.02,2004
"211","Yu-Gi-Oh! Capsule Monster Coliseum","Misc","PS2",0.46,0.22,0.01,0.17,0.06,2004
"212","Teenage Mutant Ninja Turtles 2: Battle Nexus","Action","PS2",0.46,0.22,0.01,0.17,0.06,2004
"213","Van Helsing","Action","PS2",0.46,0.22,0.01,0.17,0.06,2004
"214","InuYasha: The Secret of the Cursed Mask","Role-Playing","PS2",0.45,0.21,0.01,0.17,0.06,2004
"215","ESPN NHL 2K5","Sports","XB",0.44,0.32,0.01,0.09,0.02,2004
"216","Dance Dance Revolution Ultramix 2","Simulation","XB",0.44,0.32,0.01,0.09,0.02,2004
"217","Shin Megami Tensei: Nocturne","Role-Playing","PS2",0.4,0.07,0.26,0.05,0.02,2004
"218","Rapala Pro Fishing","Sports","PS2",0.38,0.18,0.01,0.14,0.05,2004
"219","Outlaw Golf 2","Sports","PS2",0.37,0.17,0.01,0.14,0.05,2004
"220","Lupin the 3rd: Treasure of the Sorcerer King","Adventure","PS2",0.31,0.02,0.26,0.02,0.01,2004
"221","Viewtiful Joe","Action","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2004
"222","Backyard Wrestling 2: There Goes the Neighborhood","Fighting","PS2",0.3,0.14,0.00999999999999995,0.11,0.04,2004
"223","Armored Core: Nexus","Simulation","PS2",0.28,0.06,0.15,0.05,0.02,2004
"224","Conflict: Vietnam","Shooter","XB",0.24,0.17,0.01,0.05,0.01,2004
"225","Time Crisis: Crisis Zone","Shooter","PS2",0.24,0.11,0.01,0.09,0.03,2004
"226","Galactic Wrestling: Featuring Ultimate Muscle","Fighting","PS2",0.24,0.03,0.18,0.02,0.01,2004
"227","The Dukes of Hazzard: Return of the General Lee","Racing","PS2",0.23,0.11,0.01,0.08,0.03,2004
"228","Crash 'N' Burn","Racing","PS2",0.23,0.11,0.01,0.08,0.03,2004
"229","Tenchu: Return From Darkness","Action","XB",0.23,0.16,0.01,0.05,0.01,2004
"230","Unreal II: The Awakening","Shooter","XB",0.23,0.17,0.01,0.04,0.01,2004
"231","Capcom Fighting Evolution","Fighting","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2004
"232","Saturday Night Speedway","Racing","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2004
"233","Pitfall: The Lost Expedition","Platform","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2004
"234","ESPN MLB Baseball","Sports","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2004
"235","Taiko Drum Master","Misc","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2004
"236","Forgotten Realms: Demon Stone","Action","PS2",0.22,0.1,0.00999999999999998,0.08,0.03,2004
"237","Bad Boys: Miami Takedown","Shooter","XB",0.2,0.14,0.01,0.04,0.01,2004
"238","Silent Hill 4: The Room","Adventure","XB",0.2,0.14,0.01,0.04,0.01,2004
"239","Psi-Ops: The Mindgate Conspiracy","Shooter","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2004
"240","Thief: Deadly Shadows","Action","XB",0.19,0.13,0.00999999999999998,0.04,0.01,2004
"241","Blinx 2: Masters of Time & Space","Platform","XB",0.17,0.12,0.01,0.03,0.01,2004
"242","OutRun 2","Racing","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2004
"243","Spyro: A Hero's Tail","Platform","XB",0.16,0.11,0.00999999999999998,0.03,0.01,2004
"244","King Arthur","Adventure","PS2",0.15,0.07,0.01,0.05,0.02,2004
"245","The Guy Game","Misc","PS2",0.15,0.07,0.01,0.05,0.02,2004
"246","Worms 3D","Strategy","PS2",0.14,0.06,0.01,0.05,0.02,2004
"247","The X Files: Resist or Serve","Adventure","PS2",0.14,0.06,0.01,0.05,0.02,2004
"248","Onimusha: Blade Warriors","Fighting","PS2",0.14,0.06,0.01,0.05,0.02,2004
"249","Scaler","Platform","PS2",0.11,0.05,0.01,0.04,0.01,2004
"250","Gradius V","Shooter","PS2",0.11,0.05,0.01,0.04,0.01,2004
"251","Digimon Rumble Arena 2","Fighting","PS2",0.11,0.05,0.01,0.04,0.01,2004
"252","Ribbit King","Sports","PS2",0.11,0.05,0.01,0.04,0.01,2004
"253","Wrath Unleashed","Strategy","PS2",0.09,0.04,0.01,0.03,0.01,2004
"254","The Lord of the Rings: The Battle for Middle-Earth","Strategy","PC",0.09,0.01,0.01,0.06,0.01,2004
"255","Serious Sam: Next Encounter","Shooter","PS2",0.09,0.04,0.01,0.03,0.01,2004
"256","Naval Ops: Commander","Simulation","PS2",0.07,0.03,0.01,0.02,0.01,2004
"257","Sitting Ducks","Platform","PS2",0.07,0.03,0.01,0.02,0.01,2004
"258","The Nightmare of Druaga: Fushigino Dungeon","Role-Playing","PS2",0.07,0.03,0.01,0.02,0.01,2004
"259","Power Drome","Racing","PS2",0.07,0.03,0.01,0.02,0.01,2004
"260","Spy Fiction","Action","PS2",0.06,0.02,0.01,0.02,0.01,2004
"261","Blood Will Tell: Tezuka Osamu's Dororo","Adventure","PS2",0.06,0.02,0.01,0.02,0.01,2004
"262","Room Zoom: Race for Impact","Racing","XB",0.04,0.02,0.01,0.01,0,2004
"263","Steel Battalion: Line of Contact","Simulation","XB",0.04,0.02,0.01,0.01,0,2004
"264","Carmen Sandiego: The Secret of the Stolen Drums","Adventure","XB",0.04,0.02,0.01,0.01,0,2004
"265","Star Wars Battlefront II","Shooter","PS2",3.61,2.18,0.0400000000000002,1.02,0.37,2005
"266","LEGO Star Wars: The Video Game","Action","PS2",3.55,1.98,0.0200000000000002,1.14,0.41,2005
"267","Grand Theft Auto: San Andreas","Action","XB",1.97,1.26,0.01,0.61,0.09,2005
"268","SOCOM 3: U.S. Navy SEALs","Shooter","PS2",1.71,1.22,0.05,0.34,0.1,2005
"269","Tony Hawk's American Wasteland (Old all region sales)","Sports","PS2",1.64,0.8,0.0199999999999998,0.63,0.19,2005
"270","Gun","Shooter","PS2",1.19,0.98,0.01,0.04,0.16,2005
"271","Dance Dance Revolution Extreme 2","Simulation","PS2",1.16,0.95,0.01,0.04,0.16,2005
"272","NBA Street V3","Sports","PS2",1.08,0.52,0.01,0.41,0.14,2005
"273","Radiata Stories","Role-Playing","PS2",0.67,0.18,0.3,0.14,0.05,2005
"274","X-Men Legends II: Rise of Apocalypse","Role-Playing","PS2",0.65,0.53,0.01,0.02,0.09,2005
"275","NASCAR 06: Total Team Control","Racing","PS2",0.65,0.53,0.01,0.02,0.09,2005
"276","Tony Hawk's American Wasteland","Sports","XB",0.64,0.4,0.01,0.2,0.03,2005
"277","Far Cry Instincts","Shooter","XB",0.59,0.32,0.01,0.24,0.02,2005
"278","Fullmetal Alchemist and the Broken Angel","Role-Playing","PS2",0.58,0.15,0.27,0.12,0.04,2005
"279","Crash Tag Team Racing","Racing","PS2",0.56,0.27,0.01,0.21,0.07,2005
"280","NCAA March Madness 06","Sports","PS2",0.55,0.45,0.01,0.02,0.07,2005
"281","We Love Katamari","Puzzle","PS2",0.54,0.26,0.01,0.2,0.07,2005
"282","Destroy All Humans!","Adventure","XB",0.48,0.34,0.00999999999999995,0.11,0.02,2005
"283","WWE WrestleMania 21","Fighting","XB",0.47,0.34,0.01,0.1,0.02,2005
"284","50 Cent: Bulletproof","Action","XB",0.46,0.33,0.01,0.1,0.02,2005
"285","Bratz: Rock Angelz","Misc","PS2",0.4,0.19,0.01,0.15,0.05,2005
"286","FlatOut","Racing","PS2",0.4,0.19,0.01,0.15,0.05,2005
"287","Robots","Adventure","PS2",0.38,0.18,0.01,0.14,0.05,2005
"288","NARC","Shooter","PS2",0.38,0.18,0.01,0.14,0.05,2005
"289","The Incredibles: Rise of the Underminer","Action","PS2",0.38,0.18,0.01,0.14,0.05,2005
